sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.00,-6.349,-6.780,Const,GPU-0,0:(none)->(4) -t i32,aggregated,776.316,828.947,-52.631,52.631,0.937,55.973,776.316,1.000,828.947,1.000,1.000
0.00,-23.625,-30.932,AddN,GPU-0,0:(192) 1:(192)->(192) -N i: 2 -t f32,aggregated,12421.053,16263.158,-3842.105,3842.105,0.764,4749.787,12421.053,1.000,16263.158,1.000,1.000
0.00,-15.789,-18.750,VariableV2,GPU-0,0:(none)->(5x5x64x192) -t f32,aggregated,1684.211,2000.000,-315.789,315.789,0.842,365.650,1684.211,1.000,2000.000,1.000,1.000
0.00,-52.245,-109.401,Mul,GPU-0,0:(9216x4096) 1:(1)->(9216x4096) -t f32,aggregated,1973552.632,4132631.579,-2159078.947,2159078.947,0.478,3287082.208,1973552.632,1.000,2066315.789,2.000,0.500
0.00,-4.018,-4.186,L2Loss,GPU-0,0:(3x3x384x256)->(1) -t f32,aggregated,50289.474,52394.737,-2105.263,2105.263,0.960,2189.854,50289.474,1.000,52394.737,1.000,1.000
0.00,-73.387,-275.758,Mul,GPU-0,0:(1001) 1:(1)->(1001) -t f32,aggregated,16500.000,62000.000,-45500.000,45500.000,0.266,78891.129,16500.000,1.000,31000.000,2.000,0.500
0.00,-2.905,-2.991,AddN,GPU-0,0:(1001) 1:(1001)->(1001) -N i: 2 -t f32,aggregated,12315.789,12684.211,-368.422,368.422,0.971,379.123,12315.789,1.000,12684.211,1.000,1.000
0.00,-69.225,-224.935,Mul,GPU-0,0:(384) 1:(1)->(384) -t f32,aggregated,20263.158,65842.105,-45578.947,45578.947,0.308,77130.800,10131.579,2.000,16460.526,4.000,0.500
0.00,-0.222,-0.223,AddN,GPU-0,0:(384) 1:(384)->(384) -N i: 2 -t f32,aggregated,23605.263,23657.895,-52.632,52.632,0.998,52.749,11802.632,2.000,11828.947,2.000,1.000
0.00,-18.891,-23.291,L2Loss,GPU-0,0:(192)->(1) -t f32,aggregated,10394.737,12815.789,-2421.052,2421.052,0.811,2878.417,10394.737,1.000,12815.789,1.000,1.000
0.00,-10.294,-11.475,VariableV2,GPU-0,0:(none)->(3x3x192x384) -t f32,aggregated,1605.263,1789.474,-184.211,184.211,0.897,203.174,1605.263,1.000,1789.474,1.000,1.000
0.00,-0.384,-0.386,AddN,GPU-0,0:(4096x1001) 1:(4096x1001)->(4096x1001) -N i: 2 -t f32,aggregated,320657.895,321894.737,-1236.842,1236.842,0.996,1241.594,320657.895,1.000,321894.737,1.000,1.000
0.00,-0.518,-0.521,ApplyGradientDescent,GPU-0,0:(3x3x192x384) 1:(1) 2:(3x3x192x384)->(3x3x192x384) -t f32 -use_locking 0,aggregated,60657.895,60973.684,-315.789,315.789,0.995,317.425,60657.895,1.000,60973.684,1.000,1.000
0.00,-51.355,-105.571,Mul,GPU-0,0:(4096x4096) 1:(1)->(4096x4096) -t f32,aggregated,880526.316,1810105.263,-929578.947,929578.947,0.486,1406963.902,880526.316,1.000,905052.632,2.000,0.500
0.00,-73.467,-276.891,Mul,GPU-0,0:(1) 1:(1)->(1) -t f32,aggregated,25394.737,95710.526,-70315.789,70315.789,0.265,121974.790,12697.368,2.000,23927.632,4.000,0.500
0.00,-2.776,-2.856,ApplyGradientDescent,GPU-0,0:(3x3x384x384) 1:(1) 2:(3x3x384x384)->(3x3x384x384) -t f32 -use_locking 0,aggregated,107815.789,110894.737,-3078.948,3078.948,0.972,3164.434,107815.789,1.000,110894.737,1.000,1.000
0.00,-0.384,-0.385,L2Loss,GPU-0,0:(3x3x384x384)->(1) -t f32,aggregated,61447.368,61684.211,-236.843,236.843,0.996,237.752,61447.368,1.000,61684.211,1.000,1.000
0.00,-8.434,-9.211,Mean,GPU-0,0:(1) 1:(1)->(1) -t f32 -Tidx i32 -keep_dims b: 0,aggregated,2000.000,2184.211,-184.211,184.211,0.916,199.747,2000.000,1.000,2184.211,1.000,1.000
0.00,-75.305,-304.934,Select,GPU-0,0:(1) 1:(1) 2:(1)->(1) -t f32,aggregated,13868.421,56157.895,-42289.474,42289.474,0.247,74135.390,13868.421,1.000,28078.947,2.000,0.500
0.00,-58.667,-141.939,Mul,GPU-0,0:(3x3x384x256) 1:(1)->(3x3x384x256) -t f32,aggregated,51578.947,124789.474,-73210.527,73210.527,0.413,116161.115,51578.947,1.000,62394.737,2.000,0.500
0.00,-82.615,-475.194,Mul,GPU-0,0:(192) 1:(1)->(192) -t f32,aggregated,10184.211,58578.947,-48394.736,48394.736,0.174,88375.831,10184.211,1.000,29289.474,2.000,0.500
0.00,-2.326,-2.381,AssignAdd,CPU-0,0:(1) 1:(1)->(1) -t i64 -use_locking 0,aggregated,3315.789,3394.737,-78.948,78.948,0.977,80.784,3315.789,1.000,3394.737,1.000,1.000
0.00,-19.608,-24.390,VariableV2,GPU-0,0:(none)->(64) -t f32,aggregated,1078.947,1342.105,-263.158,263.158,0.804,314.758,1078.947,1.000,1342.105,1.000,1.000
0.00,-17.475,-21.175,L2Loss,GPU-0,0:(384)->(1) -t f32,aggregated,21500.000,26052.632,-4552.632,4552.632,0.825,5348.193,10750.000,2.000,13026.316,2.000,1.000
0.00,-1.786,-1.818,Identity,GPU-0,0:(384)->(384) -t f32,aggregated,1447.368,1473.684,-26.316,26.316,0.982,26.786,723.684,2.000,736.842,2.000,1.000
0.00,-7.078,-7.617,NoOp,GPU-0,0:(none)->(none),aggregated,6736.842,7250.000,-513.158,513.158,0.929,549.480,1347.368,5.000,1450.000,5.000,1.000
0.00,-14.949,-17.577,AddN,GPU-0,0:(256) 1:(256)->(256) -N i: 2 -t f32,aggregated,11078.947,13026.316,-1947.369,1947.369,0.851,2238.491,11078.947,1.000,13026.316,1.000,1.000
0.00,-9.082,-9.989,L2Loss,GPU-0,0:(3x3x192x384)->(1) -t f32,aggregated,46631.579,51289.474,-4657.895,4657.895,0.909,5080.905,46631.579,1.000,51289.474,1.000,1.000
0.00,-0.692,-0.697,AddN,GPU-0,0:(4096x4096) 1:(4096x4096)->(4096x4096) -N i: 2 -t f32,aggregated,1284105.263,1293052.632,-8947.369,8947.369,0.993,9009.281,1284105.263,1.000,1293052.632,1.000,1.000
0.00,-39.032,-64.022,L2Loss,GPU-0,0:(11x11x3x64)->(1) -t f32,aggregated,24210.526,39710.526,-15500.000,15500.000,0.610,21550.033,24210.526,1.000,39710.526,1.000,1.000
0.00,-36.198,-56.735,Const,GPU-0,0:(none)->(1) -t i32,aggregated,3223.684,5052.632,-1828.948,1828.948,0.638,2490.989,805.921,4.000,842.105,6.000,0.667
0.00,-88.714,-786.050,L2Loss,GPU-0,0:(1001)->(1) -t f32,aggregated,15657.895,138736.842,-123078.947,123078.947,0.113,232267.155,15657.895,1.000,138736.842,1.000,1.000
0.00,-17.073,-20.588,VariableV2,GPU-0,0:(none)->(1001) -t f32,aggregated,3578.947,4315.789,-736.842,736.842,0.829,862.644,3578.947,1.000,4315.789,1.000,1.000
0.00,-6.840,-7.342,Const,GPU-0,0:(none)->(1),aggregated,5197.368,5578.947,-381.579,381.579,0.932,407.678,1299.342,4.000,1394.737,4.000,1.000
0.00,-6.849,-7.353,VariableV2,GPU-0,0:(none)->(4096x1001) -t f32,aggregated,1789.474,1921.053,-131.579,131.579,0.932,140.591,1789.474,1.000,1921.053,1.000,1.000
0.00,-13.889,-16.129,VariableV2,GPU-0,0:(none)->(11x11x3x64) -t f32,aggregated,1631.579,1894.737,-263.158,263.158,0.861,299.708,1631.579,1.000,1894.737,1.000,1.000
0.00,-1.099,-1.111,AddN,GPU-0,0:(9216x4096) 1:(9216x4096)->(9216x4096) -N i: 2 -t f32,aggregated,2882973.684,2915000.000,-32026.316,32026.316,0.989,32378.180,2882973.684,1.000,2915000.000,1.000,1.000
0.00,-8.645,-9.463,L2Loss,GPU-0,0:(256)->(1) -t f32,aggregated,10289.474,11263.158,-973.684,973.684,0.914,1057.858,10289.474,1.000,11263.158,1.000,1.000
0.00,-1.818,-1.852,Identity,GPU-0,0:(3x3x384x256)->(3x3x384x256) -t f32,aggregated,710.526,723.684,-13.158,13.158,0.982,13.397,710.526,1.000,723.684,1.000,1.000
0.00,-9.652,-10.683,L2Loss,GPU-0,0:(9216x4096)->(1) -t f32,aggregated,939000.000,1039315.789,-100315.789,100315.789,0.903,109998.368,939000.000,1.000,1039315.789,1.000,1.000
0.00,-22.756,-29.460,L2Loss,GPU-0,0:(5x5x64x192)->(1) -t f32,aggregated,35105.263,45447.368,-10342.105,10342.105,0.772,12695.578,35105.263,1.000,45447.368,1.000,1.000
0.00,-9.091,-10.000,VariableV2,GPU-0,0:(none)->(9216x4096) -t f32,aggregated,1315.789,1447.368,-131.579,131.579,0.909,143.541,1315.789,1.000,1447.368,1.000,1.000
0.00,-48.667,-94.805,Mul,GPU-0,0:(11x11x3x64) 1:(1)->(11x11x3x64) -t f32,aggregated,12157.895,23684.211,-11526.316,11526.316,0.513,17135.790,12157.895,1.000,11842.105,2.000,0.500
0.00,-72.772,-267.275,Mul,GPU-0,0:(3x3x192x384) 1:(1)->(3x3x192x384) -t f32,aggregated,40368.421,148263.158,-107894.737,107894.737,0.272,186412.384,40368.421,1.000,74131.579,2.000,0.500
