reason,op name,device,input tensors -> output tensors,full path,sys1 total (ns),sys2 total (ns),sys1 time for 1 occurence (ns),sys1 occurences,sys2 time for 1 occurence (ns),sys2 occurences
unique to sys1,Conv2D,GPU-0,0:(128x384x13x13) 1:(3x3x384x384)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,8889000.0,0,8889000.0,1.0,0,0
unique to sys1,RandomUniform,GPU-0,0:(2)->(128x4096) -t i32 -t f32 -seed i: 123 -seed2 i: 172,aggregated,30552.632,0,30552.632,1.0,0,0
unique to sys1,Conv2D,GPU-0,0:(128x384x13x13) 1:(3x3x384x256)->(128x256x13x13) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,6164973.684,0,6164973.684,1.0,0,0
unique to sys1,BiasAdd,GPU-0,0:(128x384x13x13) 1:(384)->(128x384x13x13) -t f32 -data_format NHWC,aggregated,1122236.842,0,561118.421,2.0,0,0
unique to sys1,MatMul,GPU-0,0:(128x9216) 1:(9216x4096)->(128x4096) -t f32 -tr_a 0 -tr_b 0,aggregated,3044263.158,0,3044263.158,1.0,0,0
unique to sys1,Relu,GPU-0,0:(128x384x13x13)->(128x384x13x13) -t f32,aggregated,887894.737,0,443947.368,2.0,0,0
unique to sys1,BiasAddGrad,GPU-0,0:(128x1001)->(1001) -t f32 -data_format NHWC,aggregated,23368.421,0,23368.421,1.0,0,0
unique to sys1,Relu,GPU-0,0:(128x192x27x27)->(128x192x27x27) -t f32,aggregated,1542394.737,0,1542394.737,1.0,0,0
unique to sys1,ReluGrad,GPU-0,0:(128x192x27x27) 1:(128x192x27x27)->(128x192x27x27) -t f32,aggregated,1389578.947,0,1389578.947,1.0,0,0
unique to sys1,BiasAddGrad,GPU-0,0:(128x256x13x13)->(256) -t f32 -data_format NHWC,aggregated,189421.053,0,189421.053,1.0,0,0
unique to sys1,MatMul,GPU-0,0:(128x1001) 1:(4096x1001)->(128x4096) -t f32 -tr_a 0 -tr_b 1,aggregated,376315.789,0,376315.789,1.0,0,0
unique to sys1,BiasAdd,GPU-0,0:(128x4096) 1:(4096)->(128x4096) -t f32 -data_format NHWC,aggregated,81078.947,0,40539.474,2.0,0,0
unique to sys1,Add,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f32,aggregated,77131.579,0,38565.789,2.0,0,0
unique to sys1,MaxPoolGrad,GPU-0,0:(128x64x55x55) 1:(128x64x27x27) 2:(128x64x27x27)->(128x64x55x55) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,2115815.789,0,2115815.789,1.0,0,0
