sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.04,5.827,5.506,AddN,GPU-0,0:(3x3x384x256) 1:(3x3x384x256)->(3x3x384x256) -N i: 2 -t fX,aggregated,77421.053,73157.895,4263.158,4263.158,1.058,4511.587,77421.053,1.000,73157.895,1.000,1.000
0.03,4.573,4.373,Transpose,GPU-0,0:(128x256x6x6) 1:(4)->(128x6x6x256),aggregated,87868.421,84026.316,3842.105,3842.105,1.046,4017.785,87868.421,1.000,84026.316,1.000,1.000
0.03,3.177,3.079,AddN,GPU-0,0:(3x3x384x384) 1:(3x3x384x384)->(3x3x384x384) -N i: 2 -t fX,aggregated,111105.263,107684.211,3421.052,3421.052,1.032,3529.736,111105.263,1.000,107684.211,1.000,1.000
0.02,0.228,0.227,ApplyGradientDescent,GPU-0,0:(4096x4096) 1:(1) 2:(4096x4096)->(4096x4096) -t fX -use_locking 0,aggregated,1286789.474,1283868.421,2921.053,2921.053,1.002,2927.699,1286789.474,1.000,1283868.421,1.000,1.000
0.02,2.403,2.347,Transpose,GPU-0,0:(128x6x6x256) 1:(4)->(128x256x6x6),aggregated,88578.947,86500.000,2078.947,2078.947,1.024,2128.913,88578.947,1.000,86500.000,1.000,1.000
0.02,6.053,5.708,ApplyGradientDescent,GPU-0,0:(5x5x64x192) 1:(1) 2:(5x5x64x192)->(5x5x64x192) -t fX -use_locking 0,aggregated,33657.895,31736.842,1921.053,1921.053,1.061,2037.336,33657.895,1.000,31736.842,1.000,1.000
0.01,17.158,14.645,ApplyGradientDescent,GPU-0,0:(64) 1:(1) 2:(64)->(64) -t fX -use_locking 0,aggregated,11500.000,9815.789,1684.211,1684.211,1.172,1973.191,11500.000,1.000,9815.789,1.000,1.000
0.01,0.362,0.361,MatMul,GPU-0,0:(128x4096) 1:(128x1001)->(4096x1001) -t fX -tr_a 1 -tr_b 0,aggregated,342657.895,341421.053,1236.842,1236.842,1.004,1241.323,342657.895,1.000,341421.053,1.000,1.000
0.01,10.670,9.641,AddN,GPU-0,0:(64) 1:(64)->(64) -N i: 2 -t fX,aggregated,11736.842,10605.263,1131.579,1131.579,1.107,1252.318,11736.842,1.000,10605.263,1.000,1.000
0.01,5.870,5.545,ApplyGradientDescent,GPU-0,0:(256) 1:(1) 2:(256)->(256) -t fX -use_locking 0,aggregated,13289.474,12552.632,736.842,736.842,1.059,780.095,13289.474,1.000,12552.632,1.000,1.000
