Node	Time
4e-09	MEMCPY-0	MEMCPYDtoH	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
0.007962624	GPU-0	AddN	3x3x192x384 -N i: 2 	3x3x192x384	3x3x192x384	0.1ms 0TOps 150GBs
1.54e-06	GPU-0	Mul	192 	192	1	0.0ms 0TOps 0GBs
0.159940608	GPU-0	MaxPoolGrad	128x192x27x27 ksize1331  str1221	128x192x27x27	128x192x13x13 128x192x13x13	1.3ms 0TOps 130GBs
4.612e-06	GPU-0	ApplyGradientDescent	384 -use_locking 0	384	1 384	0.0ms 0TOps 0GBs
0.032800772	GPU-0	Mul	4096x1001 	4096x1001	1	0.2ms 0TOps 160GBs
0.004194304	GPU-0	Relu	128x4096 	128x4096	-	0.0ms 0TOps 150GBs
2.052e-06	GPU-0	Mul	256 	256	1	0.0ms 0TOps 0GBs
0.0094372	GPU-0	Transpose	128x256x6x6 	128x6x6x256	4	0.1ms 0TOps 120GBs
0.058916864	GPU-0	Conv2D	128x256x13x13 same_pad lib	128x384x13x13	3x3x384x256	6.2ms 6TOps 10GBs
0.016400388	GPU-0	L2Loss	1 	4096x1001	-	0.1ms 0TOps 150GBs
0.049020928	GPU-0	MaxPoolGrad	128x256x13x13 ksize1331  str1221	128x256x13x13	128x256x6x6 128x256x6x6	0.8ms 0TOps 60GBs
7.72e-07	GPU-0	L2Loss	1 	192	-	0.0ms 0TOps 0GBs
0.022152192	GPU-0	BiasAddGrad	256 	128x256x13x13	-	0.2ms 0TOps 140GBs
1.54e-06	GPU-0	L2Loss	1 	384	-	0.0ms 0TOps 0GBs
0.05891688	GPU-0	Conv2DBackpropFilter	3x3x384x256 same_pad lib	128x384x13x13	128x256x13x13	6.1ms 6TOps 10GBs
0.015925252	GPU-0	ApplyGradientDescent	3x3x384x384 -use_locking 0	3x3x384x384	1 3x3x384x384	0.1ms 0TOps 160GBs
0.004194308	GPU-0	Add	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
0.001025536	GPU-0	Mul	128x1001 	128	128x1001	0.0ms 0TOps 200GBs
4.9152e-05	GPU-0	AddN	4096 -N i: 2 	4096	4096	0.0ms 0TOps 20GBs
0.003686404	GPU-0	ApplyGradientDescent	5x5x64x192 -use_locking 0	5x5x64x192	1 5x5x64x192	0.0ms 0TOps 150GBs
0.002113536	GPU-0	BiasAddGrad	4096 	128x4096	-	0.0ms 0TOps 90GBs
0.066453504	GPU-0	ReluGrad	128x256x13x13 	128x256x13x13	128x256x13x13	0.4ms 0TOps 160GBs
0.007077892	GPU-0	Mul	3x3x384x256 	3x3x384x256	1	0.0ms 0TOps 170GBs
0.071303168	GPU-0	MatMul	128x4096 B'	128x4096	4096x4096	1.4ms 3TOps 50GBs
4.9156e-05	GPU-0	ApplyGradientDescent	4096 -use_locking 0	4096	1 4096	0.0ms 0TOps 20GBs
3.076e-06	GPU-0	ApplyGradientDescent	256 -use_locking 0	256	1 256	0.0ms 0TOps 0GBs
0.015925248	GPU-0	AddN	3x3x384x384 -N i: 2 	3x3x384x384	3x3x384x384	0.1ms 0TOps 150GBs
0.010616832	GPU-0	AddN	3x3x384x256 -N i: 2 	3x3x384x256	3x3x384x256	0.1ms 0TOps 150GBs
0.00018586	GPU-0	Mul	11x11x3x64 	11x11x3x64	1	0.0ms 0TOps 80GBs
7.72e-07	GPU-0	ApplyGradientDescent	64 -use_locking 0	64	1 64	0.0ms 0TOps 0GBs
0.452984836	GPU-0	ApplyGradientDescent	9216x4096 -use_locking 0	9216x4096	1 9216x4096	2.9ms 0TOps 160GBs
0.033228288	GPU-0	BiasAddGrad	384 	128x384x13x13	-	0.2ms 0TOps 150GBs
0.001029028	GPU-0	BiasAdd	128x1001 	128x1001	1001	0.0ms 0TOps 160GBs
0.052494336	GPU-0	Conv2D	128x384x13x13 same_pad lib	128x192x13x13	3x3x192x384	5.2ms 6TOps 10GBs
3.2772e-05	GPU-0	Mul	4096 	4096	1	0.0ms 0TOps 20GBs
0.071761936	GPU-0	Conv2DBackpropFilter	3x3x384x384 same_pad lib	128x384x13x13	128x384x13x13	9.0ms 6TOps 10GBs
0.0	CPU-0	Const	1 i64	none	-	0.0ms 0TOps 0GBs
0.071303168	GPU-0	MatMul	4096x4096 A'	128x4096	128x4096	1.3ms 3TOps 60GBs
