Node	Time
1000.0	MEMCPY-0	MEMCPYDtoH	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
2421.0526315789475	GPU-0	ApplyGradientDescent	192 -use_locking 0	192	1 192	0.0ms 0TOps 0GBs
413763.15789473685	GPU-0	L2Loss	1 	4096x4096	-	0.4ms 0TOps 160GBs
42447.36842105263	GPU-0	Mul	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
2263.157894736842	GPU-0	AddN	384 -N i: 2 	384	384	0.0ms 0TOps 0GBs
52500.0	GPU-0	AddN	3x3x192x384 -N i: 2 	3x3x192x384	3x3x192x384	0.1ms 0TOps 150GBs
1657.894736842105	GPU-0	Mul	192 	192	1	0.0ms 0TOps 0GBs
1262842.105263158	GPU-0	MaxPoolGrad	128x192x27x27 ksize1331  str1221	128x192x27x27	128x192x13x13 128x192x13x13	1.3ms 0TOps 130GBs
2342.1052631578946	GPU-0	ApplyGradientDescent	384 -use_locking 0	384	1 384	0.0ms 0TOps 0GBs
209736.84210526315	GPU-0	Mul	4096x1001 	4096x1001	1	0.2ms 0TOps 160GBs
28868.42105263158	GPU-0	Relu	128x4096 	128x4096	-	0.0ms 0TOps 150GBs
1736.8421052631577	GPU-0	Mul	256 	256	1	0.0ms 0TOps 0GBs
75763.15789473684	GPU-0	Transpose	128x256x6x6 	128x6x6x256	4	0.1ms 0TOps 120GBs
6205815.7894736845	GPU-0	Conv2D	128x256x13x13 same_pad lib	128x384x13x13	3x3x384x256	6.2ms 6TOps 10GBs
110210.52631578947	GPU-0	L2Loss	1 	4096x1001	-	0.1ms 0TOps 150GBs
804631.5789473684	GPU-0	MaxPoolGrad	128x256x13x13 ksize1331  str1221	128x256x13x13	128x256x6x6 128x256x6x6	0.8ms 0TOps 60GBs
1973.6842105263158	GPU-0	L2Loss	1 	192	-	0.0ms 0TOps 0GBs
154631.57894736843	GPU-0	BiasAddGrad	256 	128x256x13x13	-	0.2ms 0TOps 140GBs
2447.3684210526317	GPU-0	L2Loss	1 	384	-	0.0ms 0TOps 0GBs
6129684.2105263155	GPU-0	Conv2DBackpropFilter	3x3x384x256 same_pad lib	128x384x13x13	128x256x13x13	6.1ms 6TOps 10GBs
99815.78947368421	GPU-0	ApplyGradientDescent	3x3x384x384 -use_locking 0	3x3x384x384	1 3x3x384x384	0.1ms 0TOps 160GBs
28605.263157894737	GPU-0	Add	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
5236.8421052631575	GPU-0	Mul	128x1001 	128	128x1001	0.0ms 0TOps 200GBs
2526.315789473684	GPU-0	AddN	4096 -N i: 2 	4096	4096	0.0ms 0TOps 20GBs
25131.57894736842	GPU-0	ApplyGradientDescent	5x5x64x192 -use_locking 0	5x5x64x192	1 5x5x64x192	0.0ms 0TOps 150GBs
23052.63157894737	GPU-0	BiasAddGrad	4096 	128x4096	-	0.0ms 0TOps 90GBs
427315.7894736842	GPU-0	ReluGrad	128x256x13x13 	128x256x13x13	128x256x13x13	0.4ms 0TOps 160GBs
42131.57894736842	GPU-0	Mul	3x3x384x256 	3x3x384x256	1	0.0ms 0TOps 170GBs
1397394.7368421052	GPU-0	MatMul	128x4096 B'	128x4096	4096x4096	1.4ms 3TOps 50GBs
3000.0	GPU-0	ApplyGradientDescent	4096 -use_locking 0	4096	1 4096	0.0ms 0TOps 20GBs
2552.6315789473683	GPU-0	ApplyGradientDescent	256 -use_locking 0	256	1 256	0.0ms 0TOps 0GBs
103263.15789473684	GPU-0	AddN	3x3x384x384 -N i: 2 	3x3x384x384	3x3x384x384	0.1ms 0TOps 150GBs
69289.47368421052	GPU-0	AddN	3x3x384x256 -N i: 2 	3x3x384x256	3x3x384x256	0.1ms 0TOps 150GBs
2236.842105263158	GPU-0	Mul	11x11x3x64 	11x11x3x64	1	0.0ms 0TOps 80GBs
2184.2105263157896	GPU-0	ApplyGradientDescent	64 -use_locking 0	64	1 64	0.0ms 0TOps 0GBs
2903263.1578947366	GPU-0	ApplyGradientDescent	9216x4096 -use_locking 0	9216x4096	1 9216x4096	2.9ms 0TOps 160GBs
225447.36842105264	GPU-0	BiasAddGrad	384 	128x384x13x13	-	0.2ms 0TOps 150GBs
6421.0526315789475	GPU-0	BiasAdd	128x1001 	128x1001	1001	0.0ms 0TOps 160GBs
5179052.631578947	GPU-0	Conv2D	128x384x13x13 same_pad lib	128x192x13x13	3x3x192x384	5.2ms 6TOps 10GBs
1815.7894736842104	GPU-0	Mul	4096 	4096	1	0.0ms 0TOps 20GBs
8953921.05263158	GPU-0	Conv2DBackpropFilter	3x3x384x384 same_pad lib	128x384x13x13	128x384x13x13	9.0ms 6TOps 10GBs
3000.0	CPU-0	Const	1 i64	none	-	0.0ms 0TOps 0GBs
1267236.8421052631	GPU-0	MatMul	4096x4096 A'	128x4096	128x4096	1.3ms 3TOps 60GBs
