sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.00,-1.429,-1.449,Conv2DBackpropFilter,GPU-0,0:(128x192x13x13) 1:(4) 2:(128x384x13x13)->(3x3x192x384) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,5761447.368,5844947.368,-83500.000,83500.000,0.986,84692.868,5761447.368,1.000,5844947.368,1.000,1.000
0.00,-0.688,-0.693,AddN,GPU-0,0:(9216x4096) 1:(9216x4096)->(9216x4096) -N i: 2 -t f32,aggregated,2882973.684,2902947.368,-19973.684,19973.684,0.993,20111.113,2882973.684,1.000,2902947.368,1.000,1.000
0.00,-0.769,-0.775,Conv2DBackpropFilter,GPU-0,0:(128x384x13x13) 1:(4) 2:(128x256x13x13)->(3x3x384x256) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,6082526.316,6129684.211,-47157.895,47157.895,0.992,47520.698,6082526.316,1.000,6129684.211,1.000,1.000
0.00,-33.454,-50.273,BiasAdd,GPU-0,0:(128x192x27x27) 1:(192)->(128x192x27x27) -t f32 -data_format NHWC,aggregated,1262631.579,1897394.737,-634763.158,634763.158,0.665,847119.743,1262631.579,1.000,1897394.737,1.000,1.000
0.00,-0.666,-0.671,Conv2D,GPU-0,0:(128x64x27x27) 1:(5x5x64x192)->(128x192x27x27) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,4721526.316,4753184.211,-31657.895,31657.895,0.993,31868.748,4721526.316,1.000,4753184.211,1.000,1.000
0.00,-6.897,-7.407,_Retval,CPU-0,0:(1)->(none),aggregated,2842.105,3052.632,-210.527,210.527,0.931,225.046,1421.053,2.000,1526.316,2.000,1.000
0.00,-1.011,-1.022,MatMul,GPU-0,0:(128x4096) 1:(128x4096)->(4096x4096) -t f32 -tr_a 1 -tr_b 0,aggregated,1254421.053,1267236.842,-12815.789,12815.789,0.990,12945.397,1254421.053,1.000,1267236.842,1.000,1.000
0.00,-0.842,-0.850,MatMul,GPU-0,0:(128x4096) 1:(4096x4096)->(128x4096) -t f32 -tr_a 0 -tr_b 0,aggregated,1366078.947,1377684.211,-11605.264,11605.264,0.992,11703.024,1366078.947,1.000,1377684.211,1.000,1.000
0.00,-0.877,-0.885,Const,CPU-0,0:(none)->(1) -t i64,aggregated,2973.684,3000.000,-26.316,26.316,0.991,26.547,2973.684,1.000,3000.000,1.000,1.000
0.00,-0.962,-0.972,MatMul,GPU-0,0:(128x9216) 1:(9216x4096)->(128x4096) -t f32 -tr_a 0 -tr_b 0,aggregated,3044263.158,3073842.105,-29578.947,29578.947,0.990,29863.579,3044263.158,1.000,3073842.105,1.000,1.000
0.00,-0.011,-0.011,BiasAdd,GPU-0,0:(128x64x55x55) 1:(64)->(128x64x55x55) -t f32 -data_format NHWC,aggregated,1627684.211,1627868.421,-184.210,184.210,1.000,184.231,1627684.211,1.000,1627868.421,1.000,1.000
0.00,-22.727,-29.412,Identity,CPU-0,0:(none)->(1),aggregated,1342.105,1736.842,-394.737,394.737,0.773,484.450,1342.105,1.000,1736.842,1.000,1.000
0.00,-5.721,-6.069,VariableV2,CPU-0,0:(none)->(1) -t i64,aggregated,9973.684,10578.947,-605.263,605.263,0.943,639.892,9973.684,1.000,10578.947,1.000,1.000
0.00,-1.289,-1.306,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x384x256) 2:(128x256x13x13)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,6253631.579,6335289.474,-81657.895,81657.895,0.987,82710.414,6253631.579,1.000,6335289.474,1.000,1.000
0.00,-2.775,-2.854,MaxPool,GPU-0,0:(128x64x55x55)->(128x64x27x27) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,1232894.737,1268078.947,-35184.210,35184.210,0.972,36160.434,1232894.737,1.000,1268078.947,1.000,1.000
0.00,-3.846,-4.000,NoOp,CPU-0,0:(none)->(none),aggregated,986.842,1026.316,-39.474,39.474,0.962,40.992,986.842,1.000,1026.316,1.000,1.000
0.00,-2.180,-2.229,Relu,GPU-0,0:(128x64x55x55)->(128x64x55x55) -t f32,aggregated,1303526.316,1332578.947,-29052.631,29052.631,0.978,29686.031,1303526.316,1.000,1332578.947,1.000,1.000
0.00,-3.817,-3.968,AssignAdd,CPU-0,0:(1) 1:(1)->(1) -t i64 -use_locking 0,aggregated,3315.789,3447.368,-131.579,131.579,0.962,136.601,3315.789,1.000,3447.368,1.000,1.000

Summary of sys1 vs sys2 comparison:
sys1: /home/ndr/work_february/TensorScope_test_git/characterization_scripts/../all_results/alexnet/tf_cnn_benchmarks/GPU_4270_180/software/blocking/xla_off/fp32/128/NHWC/extra_param1/extra_param2/stats_tensorflow_ops.csv
sys2: /home/ndr/work_february/TensorScope_test_git/characterization_scripts/../all_results/alexnet/tf_cnn_benchmarks/GPU_4270_180/hardware/blocking/xla_off/fp32/128/NHWC/extra_param1/extra_param2/stats_tensorflow_ops.csv


*** CONCLUSION 1: sys1 will take about 2% more hours to train than sys2***
*** CONCLUSION 2: sys2 will take about 2% less hours to train than sys1***


sys1: 0.145 seconds
sys2: 0.142 seconds

sys1 ops > 100.0 ns: 144580513.157 ns (100.00% of all ops)
sys2 ops > 100.0 ns: 142306421.051 ns (100.00% of all ops)

sys1 lag vs sys2 (sum of diff_i=(sys1_op_i - sys2_op_i) if diff_i > 0):
3829657.90 ns (0.03% of sys2)

sys1 lag coverage after discarding sys1 ops < 100.0 ns:
100.00% of total sys1 lag (3829657.90 ns)

Pearson correlation coefficient: 0.998267
Op time difference min: -33.454% max: 1002.903% avg abs: 136.627%

