sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.30,492.135,83.112,Select,GPU-0,0:(1) 1:(1) 2:(1)->(1) -t f32,tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/value,13868.421,2342.105,11526.316,11526.316,5.921,68251.331,13868.421,1.000,2342.105,1.000,1.000
0.29,214.573,68.211,Mul,GPU-0,0:(128) 1:(128x1001)->(128x1001) -t f32,tower_0/v/gradients/tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/xentropy/xentropy_grad/mul,16473.684,5236.842,11236.842,11236.842,3.146,35348.056,16473.684,1.000,5236.842,1.000,1.000
0.29,36.198,26.577,BiasAdd,GPU-0,0:(128x4096) 1:(4096)->(128x4096) -t f32 -data_format NHWC,tower_0/v/cg/affine0/xw_plus_b,41289.474,30315.789,10973.684,10973.684,1.362,14945.929,41289.474,1.000,30315.789,1.000,1.000
0.29,534.615,84.242,Mul,GPU-0,0:(1) 1:(1)->(1) -t f32,tower_0/v/mul,13026.316,2052.632,10973.684,10973.684,6.346,69640.688,13026.316,1.000,2052.632,1.000,1.000
0.28,403.883,80.154,ApplyGradientDescent,GPU-0,0:(1001) 1:(1) 2:(1001)->(1001) -t f32 -use_locking 0,append_apply_gradient_ops/GradientDescent/update_v/cg/affine2/biases/ApplyGradientDescent,13657.895,2710.526,10947.368,10947.368,5.039,55161.983,13657.895,1.000,2710.526,1.000,1.000
0.28,2.537,2.474,ReluGrad,GPU-0,0:(128x256x13x13) 1:(128x256x13x13)->(128x256x13x13) -t f32,tower_0/v/gradients/tower_0/v/cg/conv4/Relu_grad/ReluGrad,438157.895,427315.789,10842.105,10842.105,1.025,11117.197,438157.895,1.000,427315.789,1.000,1.000
0.28,37.239,27.134,Floor,GPU-0,0:(128x4096)->(128x4096) -t f32,tower_0/v/cg/dropout0_1/dropout/dropout/Floor,39763.158,28973.684,10789.474,10789.474,1.372,14807.352,39763.158,1.000,28973.684,1.000,1.000
0.28,420.619,80.792,ApplyGradientDescent,GPU-0,0:(256) 1:(1) 2:(256)->(256) -t f32 -use_locking 0,append_apply_gradient_ops/GradientDescent/update_v/cg/conv4/biases/ApplyGradientDescent,13289.474,2552.632,10736.842,10736.842,5.206,55897.992,13289.474,1.000,2552.632,1.000,1.000
0.28,353.043,77.927,ApplyGradientDescent,GPU-0,0:(4096) 1:(1) 2:(4096)->(4096) -t f32 -use_locking 0,append_apply_gradient_ops/GradientDescent/update_v/cg/affine0/biases/ApplyGradientDescent,13710.526,3026.316,10684.211,10684.211,4.530,48404.119,13710.526,1.000,3026.316,1.000,1.000
0.28,5.082,4.836,Mul,GPU-0,0:(4096x1001) 1:(1)->(4096x1001) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_14_grad/mul,220394.737,209736.842,10657.895,10657.895,1.051,11199.482,220394.737,1.000,209736.842,1.000,1.000
0.27,490.000,83.051,AddN,GPU-0,0:(192) 1:(192)->(192) -N i: 2 -t f32,tower_0/v/gradients/AddN_12,12421.053,2105.263,10315.789,10315.789,5.900,60863.158,12421.053,1.000,2105.263,1.000,1.000
0.27,35.708,26.312,Mul,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f32,tower_0/v/cg/dropout0_1/dropout/dropout/div,39105.263,28815.789,10289.474,10289.474,1.357,13963.615,39105.263,1.000,28815.789,1.000,1.000
0.27,0.521,0.519,Mul,GPU-0,0:(9216x4096) 1:(1)->(9216x4096) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_10_grad/mul,1973552.632,1963315.789,10236.842,10236.842,1.005,10290.218,1973552.632,1.000,1963315.789,1.000,1.000
0.27,1.605,1.580,ReluGrad,GPU-0,0:(128x384x13x13) 1:(128x384x13x13)->(128x384x13x13) -t f32,tower_0/v/gradients/tower_0/v/cg/conv3/Relu_grad/ReluGrad,646236.842,636026.316,10210.526,10210.526,1.016,10374.442,646236.842,1.000,636026.316,1.000,1.000
0.27,466.265,82.340,Mul,GPU-0,0:(1) 1:(1)->(1) -t f32,tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/div,12368.421,2184.211,10184.211,10184.211,5.663,57669.626,12368.421,1.000,2184.211,1.000,1.000
0.26,35.741,26.330,Mul,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f32,tower_0/v/gradients/tower_0/v/cg/dropout0/dropout/dropout/mul_grad/Mul,38578.947,28421.053,10157.895,10157.895,1.357,13788.402,38578.947,1.000,28421.053,1.000,1.000
0.26,415.054,80.585,ApplyGradientDescent,GPU-0,0:(384) 1:(1) 2:(384)->(384) -t f32 -use_locking 0,append_apply_gradient_ops/GradientDescent/update_v/cg/conv3/biases/ApplyGradientDescent,12605.263,2447.368,10157.895,10157.895,5.151,52318.619,12605.263,1.000,2447.368,1.000,1.000
0.26,445.349,81.663,AddN,GPU-0,0:(384) 1:(384)->(384) -N i: 2 -t f32,tower_0/v/gradients/AddN_10,12342.105,2263.158,10078.947,10078.947,5.453,54965.422,12342.105,1.000,2263.158,1.000,1.000
0.26,450.588,81.838,Add,GPU-0,0:(1) 1:(1)->(1) -t f32,tower_0/v/add,12315.789,2236.842,10078.947,10078.947,5.506,55493.498,12315.789,1.000,2236.842,1.000,1.000
0.26,23.559,19.067,Mul,GPU-0,0:(128x4096) 1:(128x4096)->(128x4096) -t f32,tower_0/v/cg/dropout0/dropout/dropout/mul,52447.368,42447.368,10000.000,10000.000,1.236,12355.859,52447.368,1.000,42447.368,1.000,1.000
0.26,443.529,81.602,Mul,GPU-0,0:(11x11x3x64) 1:(1)->(11x11x3x64) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_grad/mul,12157.895,2236.842,9921.053,9921.053,5.435,53923.839,12157.895,1.000,2236.842,1.000,1.000
0.26,408.696,80.342,AddN,GPU-0,0:(1001) 1:(1001)->(1001) -N i: 2 -t f32,tower_0/v/gradients/AddN,12315.789,2421.053,9894.737,9894.737,5.087,50334.096,12315.789,1.000,2421.053,1.000,1.000
0.25,385.417,79.399,AddN,GPU-0,0:(4096) 1:(4096)->(4096) -N i: 2 -t f32,tower_0/v/gradients/AddN_2,12263.158,2526.316,9736.842,9736.842,4.854,47264.254,12263.158,1.000,2526.316,1.000,1.000
0.25,479.221,82.735,AddN,GPU-0,0:(64) 1:(64)->(64) -N i: 2 -t f32,tower_0/v/gradients/AddN_14,11736.842,2026.316,9710.526,9710.526,5.792,56245.386,11736.842,1.000,2026.316,1.000,1.000
0.25,23.116,18.776,Mul,GPU-0,0:(128x4096) 1:(128x4096)->(128x4096) -t f32,tower_0/v/gradients/tower_0/v/cg/dropout0/dropout/dropout/div_grad/RealDiv,51578.947,41894.737,9684.211,9684.211,1.231,11922.772,51578.947,1.000,41894.737,1.000,1.000
0.25,398.913,79.956,ApplyGradientDescent,GPU-0,0:(192) 1:(1) 2:(192)->(192) -t f32 -use_locking 0,append_apply_gradient_ops/GradientDescent/update_v/cg/conv1/biases/ApplyGradientDescent,12078.947,2421.053,9657.895,9657.895,4.989,48184.497,12078.947,1.000,2421.053,1.000,1.000
0.25,31.111,23.729,Mul,GPU-0,0:(3x3x192x384) 1:(1)->(3x3x192x384) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_4_grad/mul,40368.421,30789.474,9578.947,9578.947,1.311,12559.064,40368.421,1.000,30789.474,1.000,1.000
0.25,52.838,34.571,RandomUniform,GPU-0,0:(2)->(128x4096) -t i32 -t f32 -seed i: 123 -seed2 i: 144,tower_0/v/cg/dropout0/dropout/dropout/random_uniform/RandomUniform,27631.579,18078.947,9552.632,9552.632,1.528,14600.092,27631.579,1.000,18078.947,1.000,1.000
0.25,22.767,18.545,ReluGrad,GPU-0,0:(128x4096) 1:(128x4096)->(128x4096) -t f32,tower_0/v/gradients/tower_0/v/cg/affine1/affine1_grad/ReluGrad,51368.421,41842.105,9526.316,9526.316,1.228,11695.200,51368.421,1.000,41842.105,1.000,1.000
0.25,2.182,2.135,Relu,GPU-0,0:(128x384x13x13)->(128x384x13x13) -t f32,tower_0/v/cg/conv3/Relu,443657.895,434184.211,9473.684,9473.684,1.022,9680.395,443657.895,1.000,434184.211,1.000,1.000
0.25,22.423,18.316,Mul,GPU-0,0:(3x3x384x256) 1:(1)->(3x3x384x256) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_8_grad/mul,51578.947,42131.579,9447.368,9447.368,1.224,11565.798,51578.947,1.000,42131.579,1.000,1.000
0.25,31.023,23.677,BiasAdd,GPU-0,0:(128x4096) 1:(4096)->(128x4096) -t f32 -data_format NHWC,tower_0/v/cg/affine1/xw_plus_b,39789.474,30368.421,9421.053,9421.053,1.310,12343.702,39789.474,1.000,30368.421,1.000,1.000
0.24,1.078,1.067,Mul,GPU-0,0:(4096x4096) 1:(1)->(4096x4096) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_12_grad/mul,880526.316,871131.579,9394.737,9394.737,1.011,9496.055,880526.316,1.000,871131.579,1.000,1.000
0.24,14.297,12.509,Mul,GPU-0,0:(3x3x384x384) 1:(1)->(3x3x384x384) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_6_grad/mul,74684.211,65342.105,9342.105,9342.105,1.143,10677.767,74684.211,1.000,65342.105,1.000,1.000
0.24,22.377,18.285,ReluGrad,GPU-0,0:(128x4096) 1:(128x4096)->(128x4096) -t f32,tower_0/v/gradients/tower_0/v/cg/affine0/affine0_grad/ReluGrad,50947.368,41631.579,9315.789,9315.789,1.224,11400.359,50947.368,1.000,41631.579,1.000,1.000
0.24,426.506,81.007,ApplyGradientDescent,GPU-0,0:(64) 1:(1) 2:(64)->(64) -t f32 -use_locking 0,append_apply_gradient_ops/GradientDescent/update_v/cg/conv0/biases/ApplyGradientDescent,11500.000,2184.211,9315.789,9315.789,5.265,49048.193,11500.000,1.000,2184.211,1.000,1.000
0.24,138.889,58.140,L2Loss,GPU-0,0:(4096)->(1) -t f32,tower_0/v/l2_loss/L2Loss_11,15842.105,6631.579,9210.526,9210.526,2.389,22002.924,15842.105,1.000,6631.579,1.000,1.000
0.24,141.393,58.574,BiasAdd,GPU-0,0:(128x1001) 1:(1001)->(128x1001) -t f32 -data_format NHWC,tower_0/v/cg/affine2/xw_plus_b,15500.000,6421.053,9078.947,9078.947,2.414,21915.984,15500.000,1.000,6421.053,1.000,1.000
0.24,415.663,80.607,AddN,GPU-0,0:(384) 1:(384)->(384) -N i: 2 -t f32,tower_0/v/gradients/AddN_8,11263.158,2184.211,9078.947,9078.947,5.157,46816.741,11263.158,1.000,2184.211,1.000,1.000
0.24,21.622,17.778,Mul,GPU-0,0:(128x4096) 1:(128x4096)->(128x4096) -t f32,tower_0/v/gradients/tower_0/v/cg/dropout0_1/dropout/dropout/div_grad/RealDiv,50921.053,41868.421,9052.632,9052.632,1.216,11009.957,50921.053,1.000,41868.421,1.000,1.000
0.23,300.877,75.055,ApplyGradientDescent,GPU-0,0:(4096) 1:(1) 2:(4096)->(4096) -t f32 -use_locking 0,append_apply_gradient_ops/GradientDescent/update_v/cg/affine1/biases/ApplyGradientDescent,12026.316,3000.000,9026.316,9026.316,4.009,36184.441,12026.316,1.000,3000.000,1.000,1.000
0.23,651.923,86.701,Mul,GPU-0,0:(64) 1:(1)->(64) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_1_grad/mul,10289.474,1368.421,8921.053,8921.053,7.519,67079.453,10289.474,1.000,1368.421,1.000,1.000
0.23,88.512,46.953,Mul,GPU-0,0:(5x5x64x192) 1:(1)->(5x5x64x192) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_2_grad/mul,19000.000,10078.947,8921.053,8921.053,1.885,16817.232,19000.000,1.000,10078.947,1.000,1.000
0.23,380.899,79.206,ApplyGradientDescent,GPU-0,0:(384) 1:(1) 2:(384)->(384) -t f32 -use_locking 0,append_apply_gradient_ops/GradientDescent/update_v/cg/conv2/biases/ApplyGradientDescent,11263.158,2342.105,8921.053,8921.053,4.809,42901.242,11263.158,1.000,2342.105,1.000,1.000
0.23,407.229,80.285,AddN,GPU-0,0:(256) 1:(256)->(256) -N i: 2 -t f32,tower_0/v/gradients/AddN_6,11078.947,2184.211,8894.737,8894.737,5.072,45116.677,11078.947,1.000,2184.211,1.000,1.000
0.23,3.022,2.934,Relu,GPU-0,0:(128x256x13x13)->(128x256x13x13) -t f32,tower_0/v/cg/conv4/Relu,298710.526,289947.368,8763.158,8763.158,1.030,9028.009,298710.526,1.000,289947.368,1.000,1.000
0.23,470.000,82.456,Mul,GPU-0,0:(4096) 1:(1)->(4096) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_11_grad/mul,10500.000,1842.105,8657.895,8657.895,5.700,49350.000,10500.000,1.000,1842.105,1.000,1.000
0.22,536.066,84.278,Mul,GPU-0,0:(384) 1:(1)->(384) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_5_grad/mul,10210.526,1605.263,8605.263,8605.263,6.361,54735.116,10210.526,1.000,1605.263,1.000,1.000
0.22,594.545,85.602,Mul,GPU-0,0:(384) 1:(1)->(384) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_7_grad/mul,10052.632,1447.368,8605.263,8605.263,6.945,59767.464,10052.632,1.000,1447.368,1.000,1.000
0.22,34.603,25.708,AddN,GPU-0,0:(5x5x64x192) 1:(5x5x64x192)->(5x5x64x192) -N i: 2 -t f32,tower_0/v/gradients/AddN_13,33473.684,24868.421,8605.263,8605.263,1.346,11582.957,33473.684,1.000,24868.421,1.000,1.000
0.22,30.213,23.203,Add,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f32,tower_0/v/cg/dropout0/dropout/dropout/add,36973.684,28394.737,8578.947,8578.947,1.302,11170.918,36973.684,1.000,28394.737,1.000,1.000
0.22,127.451,56.034,L2Loss,GPU-0,0:(4096)->(1) -t f32,tower_0/v/l2_loss/L2Loss_13,15263.158,6710.526,8552.632,8552.632,2.275,19453.044,15263.158,1.000,6710.526,1.000,1.000
