34847.11111111111	GPU-0	Tile	128 -Tmultiples i32	1	1	0.0ms 0TOps 0GBs
9224.999765807963	CPU-0	VariableV2	1 i64	none	-	0.0ms 0TOps 0GBs
3092.5999999999985	GPU-0	Cast	3x3x384x384 -DstT f32 -SrcT f16 	3x3x384x384	-	0.1ms 0TOps 160GBs
11851.93333333333	GPU-0	AddN	4096 -N i: 2 	4096	4096	0.0ms 0TOps 0GBs
3224.933333333334	CPU-0	AssignAdd	1 i64 -use_locking 0	1	1	0.0ms 0TOps 0GBs
14667.933333333334	GPU-0	Mul	4096 	4096	1	0.0ms 0TOps 0GBs
5233.800000000003	GPU-0	Cast	3x3x192x384 -DstT f32 -SrcT f16 	3x3x192x384	-	0.0ms 0TOps 150GBs
13299.933333333334	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
30114.17777777778	GPU-0	L2Loss	1 	3x3x384x256	-	0.1ms 0TOps 70GBs
724.9997658079625	GPU-0	Const	4 	none	-	0.0ms 0TOps 0GBs
1824.9997658079624	GPU-0	VariableV2	4096 	none	-	0.0ms 0TOps 0GBs
10741.444444444445	GPU-0	L2Loss	1 	384	-	0.0ms 0TOps 0GBs
724.9997658079625	GPU-0	Identity	4096 	4096	-	0.0ms 0TOps 0GBs
8592.466666666667	GPU-0	Cast	11x11x3x64 -DstT f32 -SrcT f16 	11x11x3x64	-	0.0ms 0TOps 20GBs
774.9997658079626	GPU-0	Identity	384 	384	-	0.0ms 0TOps 0GBs
100823.55555555556	GPU-0	MaxPool	128x256x6x6 f16  ksize1331  str1221	128x256x13x13	-	0.3ms 0TOps 100GBs
1398.288888888892	GPU-0	Add	128x4096 f16	1	128x4096	0.0ms 0TOps 160GBs
273941.06666666677	GPU-0	MaxPoolGrad	128x192x27x27 f16  ksize1331  str1221	128x192x27x27	128x192x13x13 128x192x13x13	1.2ms 0TOps 130GBs
10126.933333333334	GPU-0	AddN	4096 -N i: 2 	4096	4096	0.0ms 0TOps 0GBs
213203.37777777808	GPU-0	Mul	9216x4096 	9216x4096	1	2.0ms 0TOps 150GBs
1149.9997658079626	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
1099.9997658079626	CPU-0	Identity	1 	none	-	0.0ms 0TOps 0GBs
1124.9997658079624	CPU-0	Identity	1 	1	-	0.0ms 0TOps 0GBs
15742.57777777777	GPU-0	Mul	3x3x384x384 	3x3x384x384	1	0.1ms 0TOps 130GBs
624.9997658079626	GPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
69311.28196721314	GPU-0	MatMul	128x4096 f16 B'	128x1001	4096x1001	0.3ms 3TOps 60GBs
624.9997658079626	GPU-0	Identity	384 	384	-	0.0ms 0TOps 0GBs
1199.9997658079626	GPU-0	Const	1 f16	none	-	0.0ms 0TOps 0GBs
3173.2888888888883	GPU-0	Mul	128x4096 f16	1	128x4096	0.0ms 0TOps 150GBs
131777.73333333334	GPU-0	L2Loss	1 	1001	-	0.1ms 0TOps 0GBs
874.9997658079627	GPU-0	Identity	4096x1001 	4096x1001	-	0.0ms 0TOps 0GBs
11238.622222222222	GPU-0	Cast	256 -DstT f32 -SrcT f16 	256	-	0.0ms 0TOps 0GBs
11958.777777777777	GPU-0	Mul	3x3x192x384 	3x3x192x384	1	0.0ms 0TOps 120GBs
7030.422222222221	GPU-0	Cast	128x1001 -DstT f32 -SrcT f16 	128x1001	-	0.0ms 0TOps 80GBs
687.4997658079626	GPU-0	Identity	128x227x227x3 f16	128x227x227x3	-	0.0ms 0TOps 0GBs
11282.933333333334	GPU-0	Cast	384 -DstT f32 -SrcT f16 	384	-	0.0ms 0TOps 0GBs
161827.8580796253	GPU-0	MatMul	128x4096 f16 B'	128x4096	4096x4096	1.2ms 3TOps 60GBs
10694.288888888888	GPU-0	L2Loss	1 	256	-	0.0ms 0TOps 0GBs
12897.466666666674	GPU-0	ReluGrad	128x4096 f16	128x4096	128x4096	0.1ms 0TOps 120GBs
27396.111111111095	GPU-0	Transpose	128x6x6x256 	128x256x6x6	4	0.1ms 0TOps 110GBs
874.9997658079627	GPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
1087.4997658079626	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
109918.93333333335	GPU-0	AddN	4096x4096 -N i: 2 	4096x4096	4096x4096	1.3ms 0TOps 160GBs
357353.3777777781	GPU-0	Mul	9216x4096 	9216x4096	1	2.1ms 0TOps 140GBs
674.9997658079625	GPU-0	Identity	192 	192	-	0.0ms 0TOps 0GBs
42966.44444444445	GPU-0	Mul	192 	192	1	0.0ms 0TOps 0GBs
