Node	Time
12724.999765807961	GPU-0	Cast	128x1001 -DstT f32 -SrcT f16 	128x1001	-	0.0ms 0TOps 80GBs
687.4997658079626	GPU-0	Identity	128x227x227x3 f16	128x227x227x3	-	0.0ms 0TOps 0GBs
11299.999765807963	GPU-0	Cast	384 -DstT f32 -SrcT f16 	384	-	0.0ms 0TOps 0GBs
161827.8580796253	GPU-0	MatMul	128x4096 f16 B'	128x4096	4096x4096	1.2ms 3TOps 60GBs
10699.82037470726	GPU-0	L2Loss	1 	256	-	0.0ms 0TOps 0GBs
47727.21592505855	GPU-0	ReluGrad	128x4096 f16	128x4096	128x4096	0.1ms 0TOps 120GBs
79824.99976580795	GPU-0	Transpose	128x6x6x256 	128x256x6x6	4	0.1ms 0TOps 110GBs
874.9997658079627	GPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
1087.4997658079626	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
1224470.9096018735	GPU-0	AddN	4096x4096 -N i: 2 	4096x4096	4096x4096	1.3ms 0TOps 160GBs
2026234.5466042156	GPU-0	Mul	9216x4096 	9216x4096	1	2.1ms 0TOps 140GBs
674.9997658079625	GPU-0	Identity	192 	192	-	0.0ms 0TOps 0GBs
149378.09320843092	GPU-0	Relu	128x256x13x13 f16	128x256x13x13	-	0.2ms 0TOps 280GBs
42974.95503512881	GPU-0	Mul	192 	192	1	0.0ms 0TOps 0GBs
787.4997658079624	GPU-0	Identity	1001 	1001	-	0.0ms 0TOps 0GBs
16349.97025761124	GPU-0	Sum	1 -Tidx i32 -keep_dims b: 0	128	1	0.0ms 0TOps 0GBs
13999.730444964873	GPU-0	L2Loss	1 	384	-	0.0ms 0TOps 0GBs
25149.999765807966	GPU-0	Floor	128x4096 f16	128x4096	-	0.0ms 0TOps 160GBs
14049.999765807963	GPU-0	ApplyGradientDescent	4096 -use_locking 0	4096	1 4096	0.0ms 0TOps 0GBs
28452.21592505855	GPU-0	Mul	128x4096 f16	1	128x4096	0.0ms 0TOps 140GBs
82418.93067915738	GPU-0	MatMul	128x4096 f16	128x9216	9216x4096	2.5ms 4TOps 60GBs
887.4997658079625	CPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
12074.999765807963	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
1699.9997658079624	GPU-0	VariableV2	3x3x192x384 	none	-	0.0ms 0TOps 0GBs
55299.99976580797	GPU-0	Cast	3x3x384x384 -DstT f16 -SrcT f32 	3x3x384x384	-	0.1ms 0TOps 180GBs
1699.9997658079624	GPU-0	VariableV2	3x3x384x384 	none	-	0.0ms 0TOps 0GBs
1461896.5339578453	GPU-0	ReluGrad	128x64x55x55 f16	128x64x55x55	128x64x55x55	1.5ms 0TOps 190GBs
16399.999765807963	GPU-0	Cast	5x5x64x192 -DstT f16 -SrcT f32 	5x5x64x192	-	0.0ms 0TOps 140GBs
960828.6400468386	GPU-0	L2Loss	1 	9216x4096	-	1.0ms 0TOps 150GBs
11074.910070257612	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
15597.122482435598	GPU-0	L2Loss	1 	4096	-	0.0ms 0TOps 0GBs
674.9997658079625	GPU-0	Identity	3x3x384x384 	3x3x384x384	-	0.0ms 0TOps 0GBs
749.9997658079626	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
573304.2829039813	GPU-0	BiasAddGrad	192 f16	128x192x27x27	-	0.6ms 0TOps 120GBs
12474.999765807963	GPU-0	Cast	384 -DstT f32 -SrcT f16 	384	-	0.0ms 0TOps 0GBs
1399.9997658079626	CPU-0	_Retval	none 	1	-	0.0ms 0TOps 0GBs
46124.04074941452	GPU-0	Mul	4096 	4096	1	0.0ms 0TOps 0GBs
1749724.9997658082	GPU-0	Transpose	128x3x227x227 	128x227x227x3	4	1.8ms 0TOps 90GBs
699.9997658079626	GPU-0	Identity	64 	64	-	0.0ms 0TOps 0GBs
65317.80187353631	GPU-0	Mul	3x3x384x256 	3x3x384x256	1	0.1ms 0TOps 100GBs
